airport_a_iata,airport_a_city,airport_a_lat,airport_a_lon,airport_b_iata,airport_b_city,airport_b_lat,airport_b_lon,airline_record_count
CTU,Chengdu,30.578500747680664,103.9469985961914,WUH,Wuhan,30.7838,114.208,14
HAK,Haikou,19.934900283813477,110.45899963378906,HGH,Hangzhou,30.22949981689453,120.43399810791016,14
HRB,Harbin,45.6234016418457,126.25,TNA,Jinan,36.857200622558594,117.21600341796875,14
KMG,Kunming,25.1019444,102.9291667,KWE,Guiyang,26.53849983215332,106.8010025024414,14
NNG,Nanning,22.608299255371094,108.1719970703125,WUH,Wuhan,30.7838,114.208,14
TNA,Jinan,36.857200622558594,117.21600341796875,XIY,Xi'an,34.447102,108.751999,14
XIY,Xi'an,34.447102,108.751999,XMN,Xiamen,24.54400062561035,118.12799835205078,14
CEB,Cebu,10.307499885559,123.97899627686,ICN,Seoul,37.46910095214844,126.45099639892578,14
BOM,Mumbai,19.0886993408,72.8678970337,COK,Kochi,10.152,76.401901,14
BOM,Mumbai,19.0886993408,72.8678970337,MAA,Madras,12.990005493164062,80.16929626464844,14
MAA,Madras,12.990005493164062,80.16929626464844,SIN,Singapore,1.35019,103.994003,14
FUK,Fukuoka,33.585899353027344,130.4510040283203,ICN,Seoul,37.46910095214844,126.45099639892578,14
ICN,Seoul,37.46910095214844,126.45099639892578,KIX,Osaka,34.42729949951172,135.24400329589844,14
CAN,Guangzhou,23.39240074157715,113.29900360107422,SHA,Shanghai,31.197900772094727,121.33599853515625,14
CKG,Chongqing,29.719200134277344,106.64199829101562,SHA,Shanghai,31.197900772094727,121.33599853515625,14
CTU,Chengdu,30.578500747680664,103.9469985961914,SHA,Shanghai,31.197900772094727,121.33599853515625,14
DLC,Dalian,38.9656982421875,121.53900146484375,PVG,Shanghai,31.143400192260742,121.80500030517578,14
HGH,Hangzhou,30.22949981689453,120.43399810791016,SHE,Shenyang,41.639801025390625,123.48300170898438,14
HGH,Hangzhou,30.22949981689453,120.43399810791016,SJW,Shijiazhuang,38.28070068359375,114.6969985961914,14
HKG,Hong Kong,22.308901,113.915001,PVG,Shanghai,31.143400192260742,121.80500030517578,14
KIX,Osaka,34.42729949951172,135.24400329589844,PVG,Shanghai,31.143400192260742,121.80500030517578,14
KWL,Guilin,25.21809959411621,110.03900146484375,PVG,Shanghai,31.143400192260742,121.80500030517578,14
SHA,Shanghai,31.197900772094727,121.33599853515625,SZX,Shenzhen,22.639299392700195,113.81099700927734,14
ATL,Atlanta,33.6367,-84.428101,CVG,Cincinnati,39.0488014221,-84.6678009033,14
AUH,Abu Dhabi,24.433000564575195,54.651100158691406,LHE,Lahore,31.5216007232666,74.40360260009766,14
BOS,Boston,42.36429977,-71.00520325,LAX,Los Angeles,33.94250107,-118.4079971,14
CHC,Christchurch,-43.48939895629883,172.53199768066406,SYD,Sydney,-33.94609832763672,151.177001953125,14
DEN,Denver,39.861698150635,-104.672996521,LAX,Los Angeles,33.94250107,-118.4079971,14
DEN,Denver,39.861698150635,-104.672996521,PHX,Phoenix,33.43429946899414,-112.01200103759766,14
DUB,Dublin,53.421299,-6.27007,ORD,Chicago,41.9786,-87.9048,14
FCO,Rome,41.8002778,12.2388889,JFK,New York,40.63980103,-73.77890015,14
FCO,Rome,41.8002778,12.2388889,ORD,Chicago,41.9786,-87.9048,14
GDL,Guadalajara,20.521799087524414,-103.31099700927734,LAX,Los Angeles,33.94250107,-118.4079971,14
HNL,Honolulu,21.32062,-157.924228,NRT,Tokyo,35.7647018433,140.386001587,14
JFK,New York,40.63980103,-73.77890015,SFO,San Francisco,37.61899948120117,-122.375,14
LAX,Los Angeles,33.94250107,-118.4079971,MEX,Mexico City,19.4363,-99.072098,14
LAX,Los Angeles,33.94250107,-118.4079971,SFO,San Francisco,37.61899948120117,-122.375,14
LGW,London,51.148102,-0.190278,MCO,Orlando,28.429399490356445,-81.30899810791016,14
MEL,Melbourne,-37.673302,144.843002,SYD,Sydney,-33.94609832763672,151.177001953125,14
AMS,Amsterdam,52.308601,4.76389,AUH,Abu Dhabi,24.433000564575195,54.651100158691406,14
