energy_source,parent_source,level,share_pct,approx_billion_kwh,display_order
Natural gas,,major,40.8,1807.4,1
Coal,,major,16.6,735.4,2
Nuclear,,major,17.7,784.1,3
Renewables,,major,24.1,1067.6,4
Petroleum and other,,major,0.7,31.0,5
Wind,Renewables,renewable subtype,10.5,465.2,6
Hydropower,Renewables,renewable subtype,5.6,248.1,7
Solar,Renewables,renewable subtype,6.7,296.8,8
Biomass,Renewables,renewable subtype,1.0,44.3,9
Geothermal,Renewables,renewable subtype,0.4,17.7,10
