HIP,Vmag,Plx,e_Plx,B-V
24110,8.71,17.86,0.82,0.765
24113,8.46,14.85,1.43,0.636
24116,7.84,11.56,1.19,0.445
24130,6.24,20.66,0.84,0.984
24133,7.61,21.39,2.18,0.718
24136,9.58,15.74,1.44,0.815
24142,9.15,13.53,1.78,0.849
24157,9.62,20.83,1.02,0.853
24162,5.89,26.04,0.83,0.462
24176,8.12,18.02,0.83,0.708
24180,7.88,17.75,1.12,0.522
24186,8.86,255.26,0.86,1.543
24190,9.52,20.92,1.67,0.925
24191,7.8,11.16,0.96,0.472
24192,9.85,17.17,1.4,0.92
24197,5.18,10.15,0.82,1.525
24202,8.7,12.65,0.8,0.558
24204,8.59,10.16,0.82,0.466
24205,7.0,34.85,1.33,0.588
24210,8.04,33.68,1.16,0.799
24221,7.03,15.26,0.57,0.431
24228,9.17,12.19,0.99,0.65
24232,7.64,12.99,0.96,0.461
24233,8.53,10.91,0.75,0.56
24234,7.99,10.31,1.1,0.443
24240,8.18,10.1,0.96,0.45
24241,8.34,12.7,1.14,0.47
24243,8.89,35.23,1.58,1.01
24244,4.45,13.53,0.69,-0.099
24250,8.33,12.61,1.16,0.558
24258,8.61,13.18,1.55,0.513
24267,9.18,14.52,0.78,0.794
24275,7.29,10.63,0.88,1.04
24283,10.32,13.8,1.97,0.88
24284,10.82,78.5,8.94,1.55
24291,9.51,13.68,1.05,0.763
24292,10.55,23.35,1.86,1.23
24296,9.85,11.23,1.06,0.547
24298,8.51,12.29,1.4,0.88
24301,9.93,31.41,2.48,1.064
24305,3.29,17.69,0.71,-0.11
24315,7.89,10.66,1.49,0.503
24316,9.43,14.55,1.01,0.503
24329,8.98,25.12,1.19,0.738
24332,6.48,38.5,0.87,0.542
24336,7.82,21.36,1.34,0.637
24339,7.74,10.01,0.91,0.667
24340,4.82,20.08,1.39,0.189
24344,7.11,18.94,0.66,0.636
24348,6.49,12.16,0.74,0.204
24355,7.5,12.66,1.67,-0.23
24362,7.16,13.46,0.69,0.219
24392,10.54,25.24,3.25,1.645
24394,6.22,13.31,0.87,0.377
24397,7.19,16.76,1.17,0.631
24405,9.55,11.68,1.06,0.654
24413,7.16,13.11,1.21,0.311
24419,7.43,31.78,0.99,0.719
24421,9.34,12.14,1.45,0.519
24424,9.12,18.35,1.0,0.768
24425,7.43,10.82,0.89,0.364
24454,9.97,38.14,2.22,1.189
24457,9.85,26.11,2.12,1.118
24465,8.01,15.2,0.98,0.497
24472,11.54,41.94,3.43,1.52
24478,7.15,11.49,0.72,0.267
24479,6.15,10.61,0.77,1.179
24480,7.72,16.54,1.4,0.687
24493,6.15,21.77,0.91,0.401
24503,7.72,11.15,0.86,0.567
24505,5.06,11.98,0.64,-0.067
24506,7.95,10.92,0.92,0.394
24504,5.01,12.14,1.17,0.222
24523,11.07,25.24,1.74,1.242
24526,7.89,30.9,1.19,0.747
24527,8.96,12.54,1.52,0.673
24528,6.76,11.65,0.84,0.14
24541,8.24,13.07,0.72,0.5
24542,9.65,17.65,0.94,0.786
24558,10.5,21.55,2.38,1.09
24564,7.91,13.04,0.68,0.822
24573,8.69,10.45,1.05,0.529
24578,7.07,16.3,0.66,0.537
24583,8.93,19.37,1.57,0.761
24585,9.23,11.37,1.17,0.685
24597,8.28,21.26,0.75,0.66
24608,0.08,77.29,0.89,0.795
24609,8.12,10.53,1.05,0.37
24629,7.47,20.13,0.74,0.475
24658,6.96,20.31,0.76,0.458
24659,4.81,29.63,0.54,0.987
24660,8.54,18.54,1.09,0.667
24663,6.69,13.66,1.64,0.523
24665,6.85,11.64,1.03,1.061
24679,5.48,20.69,0.78,0.932
24681,7.31,22.22,1.05,0.661
24691,7.64,11.69,0.64,0.524
24692,8.52,10.79,1.15,0.729
24711,8.39,14.12,1.52,0.594
24718,8.44,14.06,0.88,0.7
24720,10.8,22.57,2.03,1.2
24722,9.05,16.0,0.73,0.662
24723,7.61,17.43,1.43,0.93
24727,4.54,13.92,1.39,1.252
24730,7.41,11.97,1.03,0.204
24735,7.28,12.3,1.03,0.308
24754,8.27,27.03,0.74,0.733
24777,9.08,25.48,1.39,0.834
24781,7.84,13.28,0.9,0.491
24783,9.35,49.34,2.13,1.298
24786,5.96,40.11,0.76,0.572
24813,4.69,79.08,0.9,0.63
24817,5.34,16.47,1.21,0.412
24819,7.77,59.29,1.68,1.051
24822,4.96,15.83,0.86,0.937
24829,5.44,27.7,0.5,0.517
24832,6.49,13.85,0.81,0.256
24834,8.01,15.04,0.99,0.56
24843,9.47,11.78,0.98,0.566
24862,8.04,10.33,0.93,0.445
24864,7.0,26.68,1.18,0.531
24874,8.72,41.09,1.26,1.003
24877,7.0,17.35,0.91,0.579
24883,7.5,18.93,0.98,0.561
24886,9.18,28.87,1.17,0.96
24902,5.46,10.66,1.0,0.122
24912,8.47,16.52,1.3,0.6
24923,9.03,18.26,1.58,0.765
24935,8.77,13.57,0.81,0.448
24947,7.39,21.91,0.63,0.51
24965,9.15,20.59,0.8,0.794
24968,9.18,11.13,0.91,0.704
24971,6.62,12.36,0.96,0.155
24986,8.04,11.2,0.62,0.521
25001,5.66,11.72,0.87,0.06
25002,7.68,26.89,0.96,0.636
25029,8.52,12.82,0.8,0.636
25034,7.71,17.48,1.04,0.481
25045,5.06,11.09,0.85,0.662
25052,7.76,19.82,1.0,0.699
25061,10.26,14.62,1.5,0.796
25073,7.73,12.64,1.19,0.438
25082,7.01,18.46,1.27,0.516
25094,7.09,34.0,0.86,0.75
25110,5.08,47.66,0.52,0.506
25119,7.76,50.24,1.52,0.98
25127,9.15,20.54,1.22,0.706
25137,9.23,16.14,1.29,0.59
25143,5.54,10.87,0.79,0.127
25148,8.7,14.8,0.8,0.713
25166,8.15,24.12,1.17,0.78
25176,9.66,12.02,1.31,0.84
25180,6.49,19.08,0.74,0.505
25183,7.53,14.96,1.14,0.387
25189,9.44,29.37,1.46,1.029
25190,8.41,18.83,2.17,0.675
25191,8.99,18.21,1.44,0.761
25195,8.11,19.97,1.3,0.606
25205,6.34,13.32,0.98,0.123
25206,10.33,15.65,1.33,0.919
25220,7.93,69.76,1.5,1.104
25222,7.29,22.66,0.96,0.538
25231,7.65,15.88,0.82,0.7
25240,6.13,17.23,1.13,0.483
25245,7.56,11.5,1.03,0.504
25247,4.13,18.71,0.74,0.943
25256,8.03,14.33,0.73,0.461
25278,5.0,68.19,0.94,0.544
25280,5.64,14.84,0.72,-0.001
25282,5.07,18.93,0.82,0.961
25283,9.08,56.36,0.97,1.248
25286,8.52,10.26,1.47,0.432
25300,7.32,21.83,1.73,0.714
25318,8.21,15.13,0.63,0.543
25321,8.06,26.81,0.8,0.728
25335,8.05,13.21,1.77,0.45
25336,1.64,13.42,0.98,-0.224
25351,7.17,28.14,0.55,0.538
25354,10.42,25.96,2.17,1.21
25358,8.19,11.32,0.74,0.52
25359,9.36,13.91,0.88,0.634
25371,7.28,10.68,0.9,0.407
25376,7.85,16.8,0.64,0.521
25388,7.49,17.2,0.96,0.572
25393,9.16,22.37,1.2,1.026
25397,5.78,23.24,1.39,0.441
25400,8.4,13.05,1.19,0.526
25405,8.15,10.3,1.05,0.523
25414,8.35,20.64,1.08,0.7
25421,7.7,55.76,0.76,0.946
25428,1.65,24.89,0.88,-0.13
25435,7.65,15.96,1.15,0.473
25440,7.75,12.18,1.13,0.438
25441,9.18,22.25,0.86,0.879
25449,8.54,12.71,0.73,0.545
25453,6.41,10.68,0.88,-0.023
25461,8.21,19.11,0.75,0.574
25482,6.02,13.16,0.85,0.346
25483,7.03,10.94,0.87,0.141
25486,6.3,37.26,0.84,0.553
25488,5.86,10.52,0.55,0.239
25490,7.18,17.08,0.73,0.6
25497,7.35,15.58,0.9,0.5
25506,7.67,14.74,0.75,0.416
25517,7.23,12.41,0.78,0.237
25523,9.58,21.24,1.57,0.92
25544,6.99,51.1,0.52,0.755
25566,8.11,12.69,1.08,0.505
25571,9.86,11.65,1.72,0.712
25578,12.48,115.04,5.22,1.653
25580,6.41,29.54,0.91,0.51
25586,8.67,17.69,1.38,0.689
25589,6.85,16.44,1.29,0.666
25590,8.99,10.09,1.35,0.372
25604,8.31,10.98,0.71,0.396
25606,2.81,20.49,0.85,0.807
25608,5.56,11.1,0.52,0.026
25612,10.12,32.84,0.99,1.17
25616,6.78,28.28,0.81,0.59
25623,7.65,77.03,0.91,1.113
25627,9.2,25.36,0.94,0.939
25638,6.35,10.13,0.96,0.168
25639,8.5,11.58,1.13,0.556
25647,6.88,66.92,0.54,0.83
25651,7.32,12.78,0.78,0.305
25654,9.19,18.95,1.51,0.783
25662,6.71,34.55,0.88,0.582
25666,8.08,10.16,1.06,0.672
25670,8.27,21.35,1.09,0.657
25679,8.32,20.85,1.06,0.702
25694,8.15,11.17,1.28,0.602
25709,8.47,13.38,0.73,0.646
25716,10.55,57.5,2.16,1.5
25717,8.19,13.56,1.23,0.463
25730,6.2,11.24,0.84,0.476
25746,6.64,19.45,0.57,0.348
25749,7.14,17.88,0.84,0.397
25759,9.72,12.76,0.95,0.599
25768,5.46,22.87,0.57,0.615
25775,9.72,51.56,3.73,1.343
25795,8.3,22.63,0.73,0.653
25807,6.96,11.7,0.53,0.214
25811,8.19,13.33,1.22,0.514
25813,4.2,11.3,1.01,-0.143
25814,8.05,12.7,1.29,0.628
25840,6.95,23.98,0.86,0.561
25843,8.18,20.22,0.88,0.583
25853,5.53,12.0,0.79,0.012
25856,6.7,10.83,0.87,0.355
25859,3.86,11.77,0.51,1.13
25860,8.64,18.66,1.35,0.669
25868,9.52,11.65,1.3,0.584
25871,7.42,11.55,0.91,0.631
25873,8.4,28.0,1.31,0.814
25878,7.97,175.72,1.2,1.474
25879,9.84,11.36,1.06,0.598
25880,7.54,24.43,1.18,0.62
25883,7.74,12.74,0.88,0.602
25905,8.36,26.21,1.28,0.697
25911,6.5,10.05,0.56,0.36
25918,5.18,32.43,1.29,1.13
25922,6.99,13.37,0.87,0.931
25949,8.57,13.99,1.99,0.681
25952,7.97,19.81,0.7,0.55
25953,11.55,78.3,3.37,1.637
25963,7.37,17.54,0.63,0.67
25973,6.44,22.79,0.81,0.587
25993,5.45,18.92,0.52,1.224
26001,5.34,14.07,0.52,1.039
26003,9.15,16.42,1.73,0.86
26006,10.66,12.62,1.87,0.81
26007,12.08,27.23,3.49,1.453
26008,6.82,17.07,0.73,0.37
26011,9.88,12.03,1.51,0.747
26013,9.12,29.57,1.17,1.045
26014,9.21,14.6,0.95,0.649
26018,8.81,21.71,2.45,0.9
26019,5.75,11.74,0.56,1.085
26026,8.4,12.67,0.66,0.494
26027,8.19,14.25,1.21,0.549
26030,8.6,15.97,0.7,0.594
26037,8.11,18.52,1.29,0.617
26050,7.15,13.46,0.56,0.492
26054,6.5,10.98,0.94,0.094
26058,12.22,26.61,3.95,1.385
26060,7.68,19.22,1.17,0.544
26065,8.16,13.84,0.72,0.5
26067,8.83,22.03,1.84,0.99
26079,6.42,17.8,0.53,0.55
26080,8.76,14.15,1.34,0.621
26081,11.53,59.45,3.88,1.576
26100,7.32,17.44,1.08,0.58
26109,7.85,12.13,1.73,0.458
26113,11.07,37.65,2.54,1.499
26129,9.1,14.13,1.47,0.661
26141,8.54,11.71,0.81,0.589
26144,8.38,12.48,0.67,0.521
26159,8.73,11.13,1.39,0.491
26160,8.69,19.89,0.96,0.593
26161,7.73,10.43,1.05,0.251
26175,8.8,37.07,1.25,0.923
26184,7.76,10.01,1.1,0.496
26192,7.58,11.65,1.06,0.549
26196,10.08,27.05,1.74,1.27
26217,8.66,11.46,1.12,0.686
26219,5.76,10.28,0.59,1.12
26231,8.0,13.34,1.18,0.496
26245,6.74,20.99,0.85,0.502
26266,8.33,11.31,0.74,0.827
26269,7.12,20.12,0.54,0.496
26273,8.22,11.9,0.98,0.707
26274,9.32,16.85,1.4,0.817
26277,9.33,30.82,0.94,1.119
26290,9.04,10.9,1.56,0.513
26309,6.26,17.68,0.71,0.151
26310,7.26,14.96,0.93,0.493
26326,7.99,16.28,1.22,0.557
26328,6.88,15.35,1.99,0.501
26330,8.57,14.7,1.41,0.506
26332,6.52,11.78,1.2,0.452
26335,8.78,87.9,1.29,1.415
26346,8.79,13.43,1.34,0.53
26366,4.09,28.1,0.91,0.951
26372,7.01,16.11,0.6,0.353
26373,7.95,41.9,1.74,0.845
26380,6.69,26.47,0.56,0.584
26381,7.68,30.08,1.15,0.667
26382,5.53,18.56,0.86,0.237
26384,10.15,26.12,1.9,1.122
26392,7.09,22.35,1.2,0.569
26395,6.1,15.14,0.81,0.051
26394,5.65,54.92,0.45,0.6
26401,9.3,13.39,1.6,0.727
26404,7.68,17.08,0.85,0.448
26410,6.26,12.6,0.65,0.231
26412,6.15,22.44,0.73,0.322
26437,7.75,19.96,0.73,0.617
26444,7.64,21.01,1.2,0.578
26452,9.6,13.14,1.55,0.513
26453,7.26,16.8,0.82,0.404
26457,7.52,12.21,0.82,0.36
26460,5.28,23.54,0.62,0.486
26471,7.82,10.77,1.14,0.3
26478,8.24,14.0,0.81,0.547
26486,7.73,14.51,0.76,0.48
26488,7.43,16.42,0.66,0.6
26501,7.33,39.59,0.94,0.769
26505,7.74,48.72,1.0,0.834
26510,6.86,10.02,0.83,0.129
26511,8.31,12.17,1.22,0.439
26525,9.56,12.55,1.65,0.666
26531,7.93,11.74,1.42,0.435
26534,7.59,17.88,0.98,0.607
26542,9.55,34.45,1.07,1.043
26544,7.94,14.63,0.95,0.47
26553,8.71,14.76,0.72,0.602
26556,7.89,16.22,0.8,0.483
26563,4.77,21.24,2.05,0.139
26587,7.03,16.64,0.79,0.411
26588,8.3,10.45,1.02,0.438
26592,6.44,13.05,0.89,1.0
26600,8.19,11.5,0.9,0.435
26610,7.78,14.4,0.91,0.543
26614,10.25,22.71,1.87,1.111
26624,5.99,24.16,0.73,0.294
26625,7.78,10.66,1.03,0.399
26634,2.65,12.16,0.6,-0.12
26641,8.91,20.28,1.25,0.647
26646,8.62,12.16,1.32,0.463
26651,7.12,18.64,0.99,0.398
26653,7.85,35.91,1.12,0.764
26654,9.0,11.94,1.11,0.518
26664,8.67,23.32,1.31,0.827
26676,10.2,14.3,1.99,0.65
26680,7.92,10.54,1.14,0.407
26681,8.78,12.77,1.3,0.59
26688,7.7,20.61,0.89,0.417
26689,7.36,17.82,1.08,0.524
26710,8.07,12.68,1.0,0.468
26722,7.84,19.05,0.75,0.554
26729,7.96,13.68,1.06,0.652
26737,7.84,27.15,0.7,0.648
26741,8.6,10.7,0.72,0.532
26744,6.74,16.13,0.9,0.491
26756,7.52,11.04,1.35,0.282
26761,7.6,17.34,1.17,0.519
26762,5.93,19.46,1.04,0.311
26775,7.54,14.29,1.54,0.486
26779,6.21,81.69,0.83,0.84
26787,9.0,18.23,0.86,0.657
26799,9.13,16.05,1.43,0.624
26801,9.78,80.13,1.67,1.473
26807,7.67,26.51,1.11,0.692
26809,9.06,14.12,1.39,0.636
26815,8.83,10.43,0.94,0.692
26820,6.41,11.95,1.21,0.32
26828,7.92,12.32,0.99,0.495
26829,7.1,14.41,0.81,0.931
26830,8.59,18.62,1.93,0.784
26834,7.36,36.05,0.92,0.801
26844,10.72,46.51,2.35,1.689
26857,11.56,172.78,3.88,1.675
26864,10.83,19.31,2.39,1.04
26882,5.62,11.7,0.65,1.249
26883,9.0,19.58,0.82,0.834
26885,4.9,10.8,0.81,1.144
26890,9.64,22.02,1.55,0.909
26904,7.51,12.85,0.84,0.541
26907,8.55,31.9,1.28,0.887
26926,5.97,19.94,0.83,0.447
26933,9.27,23.49,1.4,0.891
26935,8.18,16.82,1.2,0.696
26942,6.05,16.26,0.7,0.951
26957,6.81,11.23,0.97,0.71
26963,9.83,10.76,1.08,0.645
26966,5.73,14.45,0.76,-0.014
26973,8.52,27.86,0.79,0.861
26974,7.14,33.02,0.95,0.624
26977,8.7,18.53,1.05,0.697
26981,6.25,18.73,0.55,0.377
26985,8.76,22.59,0.71,0.7
26988,7.63,11.44,0.89,0.544
26990,8.14,19.17,0.73,0.586
26996,7.84,10.66,0.87,0.455
27001,6.38,12.24,0.56,0.295
27014,7.36,12.52,0.83,0.681
27021,7.1,23.15,0.82,0.531
27046,6.17,10.26,0.73,0.902
27058,7.11,25.43,0.76,0.637
27067,8.28,19.06,2.02,0.609
27068,9.09,12.04,1.35,0.565
27069,7.98,12.93,1.01,0.411
27070,10.03,19.06,2.02,0.993
27072,3.59,111.49,0.6,0.481
27075,6.34,39.15,0.74,0.58
27080,8.09,39.08,0.75,0.76
27090,8.27,13.78,0.79,0.672
27099,8.27,13.77,0.74,0.459
27100,4.34,22.48,0.46,0.217
27113,9.38,12.08,1.0,0.704
27114,10.76,22.07,2.48,1.085
27118,6.09,19.79,1.01,0.32
27123,6.78,18.64,0.96,0.436
27127,9.32,10.53,1.36,0.665
27128,8.2,15.93,0.91,0.54
27133,6.83,14.2,0.62,0.374
27134,9.28,20.19,0.81,0.849
27139,8.2,11.21,0.91,0.489
27140,8.5,10.25,0.75,0.498
27155,9.53,17.85,2.13,0.857
27158,8.31,14.01,1.03,0.781
27161,8.2,15.25,1.27,0.636
27165,6.85,21.89,0.88,0.637
27168,10.85,13.99,2.07,1.1
27174,8.32,10.65,1.03,0.499
27185,8.09,17.92,1.07,0.571
27188,9.02,73.04,1.11,1.379
27192,6.57,16.29,0.83,0.256
27202,8.29,12.36,1.27,0.554
27207,7.34,48.6,1.03,0.833
27225,8.2,28.2,0.81,0.722
27244,6.63,34.7,0.53,0.594
27246,7.33,27.37,0.72,0.702
27247,7.92,10.01,1.23,0.397
27249,5.93,16.89,0.73,0.164
27251,8.8,13.15,1.39,0.589
27253,5.95,23.57,0.92,0.773
27256,8.12,10.84,1.54,0.483
27259,6.84,10.6,0.59,0.086
27260,8.61,14.47,1.15,0.59
27266,7.61,10.05,1.21,0.377
27275,8.07,10.24,0.7,0.443
27280,5.78,10.88,0.86,0.888
27281,7.54,19.88,0.76,0.553
27288,3.55,46.47,0.68,0.104
27290,7.41,11.59,0.64,0.496
27305,7.98,17.14,0.97,0.581
27311,9.4,12.28,0.92,0.727
27321,3.85,51.87,0.51,0.171
27323,9.74,48.2,1.06,1.377
27330,7.16,17.07,0.72,0.513
27339,9.06,12.85,0.89,0.623
27359,10.72,66.71,1.49,1.476
27361,9.19,10.49,1.57,0.372
27371,8.8,22.0,0.79,0.71
27372,8.2,13.6,1.32,0.593
27397,10.98,36.42,2.22,1.384
27417,7.8,23.48,0.83,0.566
27429,9.19,10.6,1.29,0.554
27431,7.08,13.11,0.87,0.413
27435,5.97,64.25,1.19,0.639
27441,8.89,22.53,0.83,0.857
27455,8.32,11.3,0.7,0.563
27471,7.85,13.64,0.73,0.475
27483,4.51,15.34,0.8,0.949
27491,8.96,15.75,0.91,0.813
27511,4.89,12.0,0.86,-0.068
27517,5.49,10.51,0.93,0.87
27527,8.78,28.1,1.36,0.929
27528,8.46,24.57,1.37,0.721
27530,4.5,18.78,0.47,1.075
27531,9.86,21.26,1.1,0.864
27559,7.42,12.74,0.6,0.369
27562,8.66,12.31,1.35,0.574
27566,5.46,12.06,0.46,-0.076
27568,7.84,11.56,0.65,0.435
27576,7.62,16.42,0.75,0.531
27578,8.71,19.96,0.77,0.678
27581,5.54,10.44,1.09,1.006
27605,7.13,10.4,1.19,0.473
27609,8.31,19.91,1.27,0.7
27621,5.16,12.33,0.47,0.96
27625,6.29,11.62,0.94,1.047
27628,3.12,37.94,0.57,1.146
27633,7.61,17.1,1.11,0.47
27641,6.94,17.35,1.02,0.828
27654,3.76,29.05,0.62,0.984
27673,3.97,15.17,0.88,1.132
27688,8.96,15.74,1.02,0.732
27706,7.89,15.12,1.07,0.795
27709,7.4,12.04,0.96,0.367
27716,10.08,17.64,1.63,0.872
27720,7.68,14.23,0.89,0.789
27728,8.0,13.15,0.8,0.458
27727,9.04,11.41,1.07,0.627
27739,9.05,10.22,0.85,0.63
27758,7.26,18.4,1.16,0.558
27766,5.62,10.14,0.52,1.046
27782,8.05,13.93,0.72,0.76
27793,8.79,19.48,1.37,0.767
27799,8.34,12.21,1.23,0.655
27802,10.39,20.53,2.11,1.4
27803,9.7,49.74,1.66,1.321
27813,9.57,11.14,1.0,0.686
27820,7.19,16.53,1.0,0.506
27823,8.59,21.06,0.84,0.696
27828,8.4,11.25,1.25,0.552
27844,6.7,14.93,1.19,0.2
27849,7.28,18.06,0.84,0.543
27852,8.29,10.61,0.67,0.497
27855,8.39,15.13,0.77,0.65
27860,8.78,13.83,1.73,0.617
27870,7.97,10.19,0.66,0.411
27878,7.76,18.64,1.05,0.59
27887,7.17,77.95,0.53,0.935
27890,4.65,36.67,0.48,1.022
27894,11.79,17.41,2.35,1.34
27896,6.53,28.67,0.55,0.891
27901,6.34,17.84,0.71,0.37
27910,9.89,12.36,1.1,0.779
27913,4.39,115.43,1.08,0.594
27918,8.84,37.57,1.26,1.014
27922,7.51,43.86,1.19,0.7
27923,9.1,14.06,0.85,0.72
27924,6.59,10.69,0.87,0.029
27928,10.7,26.1,2.13,1.172
27933,7.31,12.76,0.94,0.278
27936,8.12,14.97,1.17,0.543
27943,8.38,10.65,0.91,0.602
27947,5.29,28.65,0.47,0.295
27948,10.11,17.26,1.07,0.807
27949,4.96,13.54,0.72,0.052
27950,8.25,10.39,0.67,0.611
27952,8.28,11.66,0.72,0.417
27957,8.39,16.91,0.66,0.641
27969,8.56,14.05,0.67,0.548
27970,7.74,15.82,0.99,0.49
27973,5.9,12.72,0.98,0.144
27977,8.76,11.39,0.77,0.508
27978,7.58,14.21,0.58,0.428
27980,7.65,21.41,1.1,0.629
27986,7.34,13.9,0.91,0.428
28011,5.87,10.71,0.92,1.173
28019,6.28,10.17,1.23,0.056
28021,7.91,13.42,0.78,0.569
28035,10.7,68.58,1.94,1.054
28036,7.46,18.45,0.64,0.492
28042,8.48,10.9,0.72,0.558
28047,6.77,11.03,0.72,0.734
28062,10.51,13.84,1.27,0.895
28066,6.6,35.72,1.0,0.65
28070,8.94,14.32,0.82,0.565
28083,8.24,15.97,0.97,0.53
28085,5.95,11.18,0.63,1.107
28102,8.15,10.79,1.29,0.528
28103,3.71,66.47,0.74,0.337
28122,9.48,23.63,3.2,0.722
28125,9.95,16.97,0.99,0.808
28128,7.86,14.47,1.17,0.448
28135,9.85,25.08,1.92,1.103
28139,5.89,10.62,0.89,1.111
28145,8.6,17.52,1.24,0.609
28150,6.65,18.75,0.56,0.521
28153,10.59,42.17,1.77,1.404
28159,8.2,14.69,1.24,0.654
28177,8.26,12.71,0.8,0.503
28181,8.94,10.56,1.0,0.705
28182,9.81,13.72,1.94,0.779
28183,9.8,14.13,1.0,0.73
28188,9.0,16.57,1.47,0.47
28193,9.28,23.92,0.95,0.965
28201,6.67,11.51,0.83,0.525
28212,7.45,14.8,0.97,0.548
28224,7.86,10.17,1.05,0.38
28230,7.55,11.12,0.67,0.281
28240,8.82,16.76,1.93,0.807
28241,8.26,16.36,0.75,0.588
28247,9.44,12.02,0.93,0.746
28249,7.89,10.72,0.73,0.881
28253,7.91,10.6,1.24,0.64
28267,6.99,43.1,0.93,0.72
28280,9.08,11.18,1.32,0.657
28284,7.31,13.47,0.84,0.888
28293,6.86,11.49,0.76,0.437
28304,9.69,15.5,1.66,0.862
28305,8.28,10.41,0.67,0.445
28311,8.17,16.58,0.77,0.641
28312,8.47,13.5,1.22,0.606
28316,9.99,19.96,0.93,0.875
28321,6.15,10.32,0.86,0.333
28333,8.41,15.61,0.77,0.596
28336,8.98,15.23,1.37,0.659
28338,7.33,10.14,0.96,0.541
28356,7.78,14.87,0.98,0.461
28357,9.01,12.26,1.29,0.561
28358,3.72,23.22,0.91,1.01
28360,1.9,39.72,0.78,0.077
28380,2.65,18.83,0.81,-0.083
28393,8.65,23.24,1.02,0.887
28395,8.08,11.64,1.01,0.524
28403,8.61,19.41,0.8,0.626
28419,8.59,15.69,0.78,0.605
28428,7.46,18.69,0.96,0.639
28434,6.21,16.7,0.82,0.358
28445,9.41,21.69,1.73,0.93
28450,8.5,11.89,1.09,0.555
28452,9.25,21.97,0.87,0.817
28460,8.82,19.22,0.79,0.624
28462,8.12,13.24,0.64,0.502
28469,7.5,10.52,0.99,0.368
28474,9.09,18.57,0.75,0.702
28484,5.65,15.82,0.48,0.207
28494,10.02,31.56,2.08,1.23
28498,7.4,17.92,0.66,0.465
28502,9.69,20.33,1.9,0.913
28508,7.69,10.92,0.66,0.559
28511,7.49,10.09,0.91,0.533
28516,8.46,10.57,0.84,0.622
28517,6.18,12.71,1.0,0.095
28518,9.04,18.55,0.87,0.69
28525,8.69,13.79,0.82,0.602
28528,9.09,10.8,1.32,0.606
28530,8.06,10.26,1.02,0.46
28573,9.77,16.0,1.75,1.041
28579,7.01,10.93,0.55,0.645
28591,7.18,17.96,0.76,0.423
28604,8.72,19.8,0.79,0.629
28614,4.12,21.49,0.82,0.17
28626,6.79,15.43,1.0,0.432
28634,6.49,35.21,0.8,0.567
28641,9.07,11.51,1.04,0.656
28644,6.23,20.02,0.86,0.456
28646,7.54,10.8,0.74,0.489
28648,9.28,10.14,0.84,0.543
28654,6.88,11.91,0.57,0.201
28661,7.34,10.41,0.95,1.169
28677,6.08,12.47,1.03,0.979
28678,7.47,15.07,0.94,0.534
28683,7.08,14.41,0.89,0.403
28736,11.04,25.57,3.56,1.26
28720,9.34,14.61,0.9,0.637
28734,4.16,21.64,1.06,0.835
28743,6.94,10.91,0.84,0.467
28754,12.14,34.18,2.51,1.458
28759,8.72,10.85,1.27,0.554
28764,6.35,37.46,0.5,0.517
28767,6.74,30.0,0.82,0.573
28768,8.05,12.29,0.65,0.516
28778,7.6,10.74,0.89,0.299
28790,5.93,37.01,0.58,0.493
28796,6.6,33.64,0.84,0.712
28808,7.86,10.02,0.87,0.391
28813,6.72,24.56,0.85,0.508
28823,5.9,19.38,0.8,0.358
28835,7.96,12.32,1.12,0.593
28842,7.43,10.24,0.82,0.541
28854,5.88,16.96,0.86,0.374
28855,5.8,12.4,0.55,0.027
28868,8.78,12.37,1.03,0.535
28869,7.84,20.51,0.68,0.595
28872,8.78,11.35,1.35,0.521
28878,7.51,10.23,0.6,0.168
28884,9.42,23.97,1.45,0.888
28898,8.45,36.53,0.74,0.844
28899,5.79,12.25,0.56,0.041
28902,8.29,31.3,0.97,0.783
28905,8.34,27.0,1.11,0.771
28908,6.12,37.9,0.83,0.6
28910,4.67,19.14,0.7,0.046
28913,7.24,18.22,0.58,0.551
28914,7.59,12.42,0.84,0.549
28921,8.95,31.38,1.16,0.868
28935,8.4,32.95,1.06,0.846
28941,9.1,22.11,0.81,0.9
28947,8.73,11.5,1.33,0.548
28954,6.76,64.71,0.91,0.814
28957,6.15,10.13,0.96,0.246
28962,7.2,10.27,0.58,0.347
28963,7.4,13.19,0.81,0.393
28964,9.4,36.33,0.87,1.107
28985,6.58,14.48,0.9,0.228
28987,6.83,21.38,0.55,0.463
28996,9.41,10.37,1.2,0.549
29001,7.34,27.97,1.05,0.543
29002,6.94,11.61,0.99,0.455
29003,8.61,13.77,1.43,0.677
29035,8.92,10.61,1.33,0.701
29036,10.62,25.92,3.78,1.2
29052,11.87,87.64,2.61,1.6
29063,8.97,28.92,1.31,0.867
29064,5.5,12.48,0.49,0.007
29067,9.75,40.12,1.78,1.25
29074,8.02,22.46,1.12,0.626
29079,8.54,14.4,1.61,0.559
29080,8.31,12.99,1.15,0.461
29083,6.95,21.83,0.88,0.467
29093,8.83,12.75,0.82,0.556
29094,8.21,10.99,0.65,0.593
29096,11.85,28.35,2.66,1.401
29110,8.31,11.17,1.13,0.44
29111,9.78,17.08,2.29,0.881
29113,8.77,17.32,1.25,0.625
29116,8.28,16.19,1.29,0.561
29118,6.79,13.02,1.28,0.0
