HIP,Vmag,Plx,e_Plx,B-V
919,7.95,29.35,0.95,0.755
920,8.23,18.6,0.91,0.581
922,8.48,11.58,1.13,0.473
924,8.97,20.86,2.16,0.807
929,8.34,17.0,0.82,0.619
934,9.04,27.46,1.09,0.891
943,8.61,20.55,1.21,0.643
948,9.92,29.15,1.54,1.071
950,5.24,45.85,0.66,0.459
952,8.45,10.91,1.15,0.481
955,9.02,16.48,1.49,0.599
956,7.51,12.79,1.43,0.491
961,9.34,10.46,1.33,0.695
964,7.91,10.93,1.05,0.392
971,7.19,10.9,0.86,0.398
974,8.73,38.88,1.22,1.045
975,7.62,17.21,0.76,0.758
976,8.66,10.57,1.33,0.43
986,7.43,10.44,0.83,0.335
996,8.18,19.39,1.0,0.669
999,8.44,24.69,1.2,0.739
1000,8.73,15.32,1.34,0.707
1003,8.66,21.09,1.23,0.743
1013,7.95,15.34,0.99,0.945
1022,9.85,15.9,1.78,0.939
1026,6.63,18.06,0.76,0.402
1031,7.22,49.18,0.78,0.775
1044,10.74,27.5,1.94,1.308
1051,8.75,11.11,1.11,0.401
1055,10.41,24.96,2.95,1.36
1058,7.57,14.72,0.86,0.453
1071,7.98,11.12,1.08,0.396
1072,7.45,10.64,0.9,0.48
1073,7.72,10.64,0.91,0.333
1078,9.86,28.3,1.48,1.19
1083,10.77,36.74,2.54,1.444
1085,9.05,30.0,1.25,0.913
1086,5.71,28.57,0.74,0.331
1092,11.14,51.12,3.31,1.556
1103,7.41,13.08,0.96,0.44
1113,8.76,22.86,0.87,0.743
1114,7.15,14.45,0.76,0.513
1116,8.93,10.74,1.17,0.628
1119,9.42,24.14,1.58,0.962
1123,6.22,11.13,0.73,0.009
1128,8.36,23.68,1.19,0.645
1134,7.32,21.66,1.17,0.521
1137,8.08,13.44,0.89,0.461
1140,6.66,21.62,0.68,0.462
1144,7.42,20.23,1.2,0.64
1147,6.89,18.19,0.9,0.502
1148,8.51,22.51,1.49,0.73
1151,9.42,11.19,1.5,0.831
1156,8.23,10.93,0.98,0.475
1161,6.95,12.17,0.82,0.494
1168,4.79,10.01,0.77,1.572
1169,7.03,11.81,0.82,0.461
1173,9.18,13.85,1.37,0.657
1174,9.1,12.12,1.4,0.681
1185,6.82,11.33,0.89,0.257
1187,10.04,13.96,1.97,0.84
1196,6.02,12.47,1.28,0.312
1206,8.57,22.9,0.93,0.695
1211,7.99,10.99,0.83,0.389
1234,7.33,10.91,0.81,0.441
1242,11.49,191.86,17.24,1.75
1258,8.54,11.65,0.8,0.551
1266,9.05,10.45,1.3,0.557
1274,8.57,13.96,1.25,0.568
1275,9.76,19.25,1.67,0.74
1276,11.58,41.32,3.89,1.647
1290,9.35,13.79,1.38,0.655
1292,6.59,56.76,0.53,0.749
1294,8.79,23.91,1.17,0.965
1297,8.92,14.92,0.97,0.718
1302,6.12,10.75,0.98,0.068
1304,8.78,12.54,1.22,0.623
1306,7.9,13.71,1.21,0.673
1308,11.06,21.82,2.32,1.258
1321,8.52,11.21,1.18,0.24
1322,12.38,44.82,3.44,1.53
1334,10.01,23.92,1.54,0.95
1335,8.58,10.38,0.96,0.59
1336,7.74,11.15,1.3,0.472
1347,8.67,30.0,0.82,0.855
1349,6.84,43.45,1.19,0.655
1350,8.94,15.06,1.47,0.625
1351,9.23,13.42,1.36,0.557
1366,4.61,12.88,1.31,0.059
1368,8.99,66.71,1.12,1.37
1382,7.96,27.32,0.84,0.651
1386,11.54,42.65,2.77,1.505
1389,10.51,23.3,3.17,1.31
1394,8.3,11.28,0.79,0.524
1392,6.66,15.31,1.35,0.589
1397,7.71,11.3,1.39,0.599
1398,11.36,24.12,2.91,1.22
1399,11.3,22.54,2.33,1.4
1400,8.82,10.73,1.1,0.552
1402,6.46,20.47,0.89,0.386
1404,8.25,10.52,0.72,0.589
1407,11.3,21.8,1.97,1.31
1408,10.42,17.1,1.77,0.998
1411,9.09,14.58,1.15,0.635
1412,10.99,28.38,2.31,1.414
1420,10.43,17.0,2.22,1.0
1419,7.79,12.92,0.73,0.772
1427,7.21,21.66,0.87,0.477
1437,8.88,16.24,1.26,0.542
1442,9.94,16.75,1.48,0.82
1444,6.51,38.24,0.85,0.599
1455,7.2,12.21,0.97,0.309
1457,9.31,10.55,1.26,0.632
1463,10.88,61.67,2.2,1.479
1468,8.94,14.05,1.13,0.57
1473,4.51,23.11,0.68,0.054
1475,8.09,280.27,1.05,1.56
1481,7.46,24.42,0.68,0.537
1487,7.47,15.08,0.88,0.468
1499,6.47,42.67,0.85,0.674
1500,8.36,16.71,0.99,0.591
1532,9.9,48.17,1.73,1.318
1536,9.58,12.22,1.01,0.625
1539,10.93,31.24,2.3,1.375
1541,8.19,14.21,1.07,0.657
1545,7.93,11.65,0.97,0.398
1552,8.12,18.95,0.99,0.661
1562,3.56,11.26,0.73,1.214
1565,7.95,11.36,1.08,0.818
1567,8.49,13.16,1.04,0.575
1573,7.03,21.59,0.98,0.508
1572,8.75,14.55,0.84,0.594
1582,7.97,16.31,0.82,0.552
1598,6.97,40.25,0.81,0.64
1599,4.23,116.38,0.64,0.576
1608,11.67,39.31,3.03,1.49
1613,9.83,14.46,1.29,0.837
1623,7.87,19.35,0.69,0.552
1625,8.5,19.39,1.62,0.714
1629,7.66,10.16,0.65,0.337
1636,9.14,10.8,1.19,0.612
1640,7.52,11.82,0.92,0.961
1647,5.5,10.65,0.51,-0.046
1649,8.73,11.33,0.79,0.627
1654,9.14,17.37,1.26,0.725
1668,8.38,12.68,1.21,0.536
1669,6.9,14.0,1.32,0.478
1672,8.41,10.14,0.86,0.819
1673,8.79,13.2,0.99,0.537
1674,7.91,31.49,1.51,0.815
1679,9.31,11.58,1.4,0.667
1683,8.99,10.03,1.16,0.647
1684,6.92,12.42,0.93,1.036
1686,5.16,20.42,0.73,0.442
1687,10.06,18.33,1.49,0.96
1691,7.36,12.6,0.96,0.529
1696,10.41,55.68,2.02,1.475
1704,7.73,14.99,0.95,0.419
1708,5.18,10.5,0.87,1.006
1712,8.56,10.65,1.11,0.532
1719,9.65,23.22,1.02,0.835
1720,12.21,50.1,3.98,1.537
1721,8.1,10.13,0.96,0.459
1723,9.71,19.82,2.27,1.036
1732,7.4,13.41,1.5,0.631
1734,11.16,54.91,2.19,1.485
1736,7.57,16.04,0.88,0.48
1742,9.31,13.63,1.25,0.733
1745,9.42,18.0,1.45,0.704
1746,8.93,16.39,1.48,0.677
1752,8.78,10.08,1.22,0.447
1766,6.68,11.29,0.78,1.102
1771,11.21,20.26,2.65,1.47
1773,8.59,11.29,0.95,0.535
1774,11.19,14.45,1.97,1.28
1779,8.59,22.53,0.91,0.769
1780,9.09,10.8,1.22,0.696
1787,8.19,12.19,1.07,0.441
1795,6.75,13.13,0.73,0.371
1803,6.39,49.05,0.91,0.659
1807,9.83,22.93,1.42,0.848
1813,7.57,24.68,0.9,0.639
1823,7.88,21.66,1.22,0.579
1825,8.57,12.25,1.16,0.529
1837,8.74,44.97,1.15,1.075
1841,9.91,16.99,1.53,0.914
1842,11.87,47.4,2.63,1.516
1860,11.31,50.71,2.72,1.462
1866,10.66,20.9,1.98,1.099
1868,10.01,11.83,1.64,0.582
1871,8.68,22.65,1.16,0.709
1877,7.59,10.02,1.06,0.85
1884,8.88,10.23,1.18,0.633
1885,10.6,23.75,1.79,1.258
1887,8.48,12.47,1.3,0.58
1892,6.57,18.64,0.69,0.38
1893,8.72,19.26,1.23,0.73
1897,9.69,17.09,1.37,0.88
1899,7.42,15.9,0.97,0.51
1908,9.06,11.76,1.09,0.586
1910,11.33,21.59,2.22,1.39
1914,8.3,14.6,0.75,0.619
1918,7.52,11.01,0.83,0.485
1923,8.44,13.28,0.75,0.652
1931,9.0,11.13,1.13,0.656
1933,9.56,20.81,1.49,0.904
1936,7.92,55.53,1.08,0.94
1937,8.81,14.84,0.83,0.708
1954,7.27,36.15,0.8,0.681
1955,6.81,28.91,0.73,0.596
1970,7.63,10.47,0.85,0.843
1976,7.57,20.45,1.08,0.616
1977,8.68,12.98,1.1,0.564
1978,9.61,23.77,1.31,1.06
1987,7.52,23.69,1.08,0.629
1989,7.89,15.77,0.82,0.538
2000,9.82,10.87,1.44,0.74
2011,8.85,10.52,1.12,0.52
2021,2.82,133.78,0.51,0.618
2031,10.68,15.76,2.03,1.043
2039,9.25,17.45,1.56,0.838
2048,8.78,11.94,1.56,0.556
2049,8.9,10.19,1.29,0.675
2062,8.74,10.58,1.17,0.524
2064,10.56,15.74,2.14,1.206
2066,8.25,16.21,1.02,0.583
2072,3.93,42.51,0.69,0.175
2081,2.4,42.14,0.78,1.083
2083,7.87,11.7,1.03,0.406
2099,8.58,11.7,1.19,0.463
2102,10.05,22.32,1.59,1.0
2107,8.75,14.9,1.07,0.576
2111,8.1,11.96,0.72,0.501
2120,10.52,61.39,1.51,1.459
2121,8.6,11.44,1.19,0.446
2127,9.52,10.27,1.08,0.735
2128,9.66,17.16,1.47,0.703
2131,8.92,14.38,1.05,0.643
2135,6.66,12.51,0.84,0.487
2136,9.5,18.1,1.47,0.931
